customer_id,transaction_amount,transaction_date
374,350.01,2023-07-02
229,362.24,2023-10-01
12,374.19,2023-06-06
271,258.61,2023-03-24
155,211.76,2023-07-31
62,329.01,2023-07-12
190,114.9,2023-12-25
62,208.82,2023-12-17
498,42.48,2023-10-20
258,225.83,2023-09-17
76,328.36,2023-12-12
67,294.76,2023-10-07
194,289.02,2023-02-05
55,469.15,2023-05-15
448,485.53,2023-10-08
126,227.31,2023-05-16
212,208.69,2023-02-02
175,494.97,2023-04-24
417,179.52,2023-04-29
125,100.27,2023-06-23
392,89.78,2023-03-22
463,111.57,2023-12-18
332,411.62,2023-11-07
458,411.28,2023-05-03
345,288.67,2023-05-09
179,269.77,2023-12-24
138,273.45,2023-09-16
58,106.42,2023-07-11
103,245.44,2023-02-21
104,289.09,2023-05-23
453,220.02,2023-06-28
323,380.64,2023-04-21
348,110.5,2023-12-15
122,24.52,2023-03-06
118,17.37,2023-11-30
208,229.37,2023-05-29
111,33.51,2023-05-10
169,368.15,2023-01-12
75,19.98,2023-01-20
275,110.31,2023-12-07
105,384.46,2023-11-07
246,486.57,2023-12-28
53,76.93,2023-01-06
424,176.69,2023-07-23
343,430.87,2023-08-12
454,73.97,2023-04-16
443,146.46,2023-03-24
358,268.1,2023-07-03
199,11.46,2023-10-12
438,44.8,2023-01-02
267,413.24,2023-07-26
27,233.8,2023-02-09
6,406.68,2023-05-29
8,136.18,2023-12-21
82,278.09,2023-05-26
75,273.95,2023-04-21
7,256.7,2023-06-23
209,172.51,2023-08-09
190,282.05,2023-08-14
64,486.19,2023-06-15
305,472.51,2023-06-10
206,442.66,2023-06-13
467,366.15,2023-10-20
121,234.98,2023-09-24
79,376.77,2023-05-10
321,90.21,2023-02-27
54,181.21,2023-11-16
143,247.91,2023-06-22
366,490.39,2023-03-16
221,244.71,2023-05-30
87,125.15,2023-03-13
292,301.08,2023-11-26
82,137.19,2023-07-08
103,480.55,2023-04-18
25,255.89,2023-10-31
361,173.47,2023-06-02
297,258.98,2023-11-10
103,370.78,2023-09-30
383,449.47,2023-01-10
408,220.36,2023-10-10
378,389.41,2023-01-29
285,299.54,2023-10-27
147,457.13,2023-12-13
16,281.24,2023-09-25
44,406.34,2023-12-24
312,21.59,2023-12-03
293,192.09,2023-04-11
274,137.9,2023-07-22
487,70.55,2023-08-05
51,266.19,2023-09-26
163,306.11,2023-07-07
177,376.97,2023-03-01
209,305.24,2023-05-21
353,404.43,2023-12-19
114,495.52,2023-03-21
392,250.85,2023-08-03
443,187.43,2023-11-08
298,182.07,2023-04-17
354,269.89,2023-02-04
266,48.5,2023-12-27
484,239.88,2023-02-11
71,164.56,2023-02-28
380,347.31,2023-01-30
146,247.05,2023-02-26
6,178.9,2023-09-09
208,221.73,2024-01-01
15,276.6,2023-07-26
263,181.92,2023-10-29
300,115.44,2023-08-17
207,291.65,2023-03-13
64,122.25,2023-04-01
